"","date","source","Pras","Lut","Fuco","Perid","Allo","But_fuco","Hex_fuco","Zea","Tot_Chl_b","DP","Tot_Chl_a","TChl","Chl_c1c2","Chl_c3","DP2","micro","nano","pico","time_month"
"1",1995-12-13,"BBRS",0.00466522495254627,NA,0.0153857422417221,0.00482038571822202,NA,0.00642241681151046,0.0198971960667781,0.00697179579978698,0.0497301652564092,NA,0.126895702759808,NA,0.0059987057761294,NA,NA,NA,NA,NA,"12-1995"
"2",1996-01-12,"BBRS",0.00697737448848277,NA,0.256729513481974,0.056359275902602,0.00431944444444444,0.00850803405534757,0.0198255674568308,0.00564953722172724,0.0518652946995098,NA,0.43383381618314,NA,0.0959438580922149,0.040146023823449,0.529445691945656,0.83380637475763,0.0580757379349297,0.10811788730744,"01-1996"
"3",1996-02-13,"BBRS",NA,NA,0.212203440072087,0.012839046613875,0.00489230085873066,0.00381456325713268,0.0220545424163322,0.00578318289218057,0.0374790557562894,NA,0.277913990569162,NA,0.0337768179510009,0.00811471067729489,0.392417036352311,0.808603798593308,0.0822587796494035,0.109137421757289,"02-1996"
"4",1996-03-13,"BBRS",NA,NA,0.291231160512804,0.0426083033858983,0.00669492059504193,0.00157950581395349,0.0184434874411931,0.00710053272923652,0.0248456150124474,NA,0.27980936239713,NA,0.123460909203288,NA,0.52990718184911,0.888294516889951,0.0528262484470253,0.0588792346630237,"03-1996"
"5",1996-04-16,"BBRS",NA,NA,1.24772606298099,0.0330423175541298,NA,0.031331991477546,0.218870111903701,0.0165980419821924,0.0848999838227485,NA,2.24337491449127,NA,0.072257970034352,0.0171372150593727,NA,NA,NA,NA,"04-1996"
"6",1996-05-09,"BBRS",NA,NA,0.253971614936667,NA,NA,NA,0.0443977407530118,0.0114552151641775,0.0341812968887695,NA,0.484160448387978,NA,0.0394541550017487,0.00729381366821696,NA,NA,NA,NA,"05-1996"
"7",1996-06-12,"BBRS",NA,0.00145942750645348,0.0773573647066889,NA,0.00618667906702262,0.00773655902369106,0.0322324317964147,0.0019016393442623,0.100956691066583,NA,0.255530169231217,NA,0.018409327283478,0.00330242816594719,NA,NA,NA,NA,"06-1996"
"8",1996-07-10,"BBRS",0.0151114617040117,NA,0.0207548278467627,0.00470984450936412,NA,0.00901406884226952,0.0381113694898087,0.0196797492488921,0.0129060963009961,NA,0.223102706225805,NA,0.00849688119967119,0.00210271713375974,NA,NA,NA,NA,"07-1996"
"9",1996-08-06,"BBRS",NA,0.00142066936413157,0.0207956048210724,0.00296642495812309,NA,0.0123492803095605,0.0455266520845121,0.016055088840646,0.142497603977344,NA,0.235103962441619,NA,0.0125954074253679,0.00699488812344532,NA,NA,NA,NA,"08-1996"
"10",1996-09-10,"BBRS",0.0159126535695008,NA,0.032177945706296,0.00494744907607102,0.0015,0.0233689543371842,0.0694642272402853,0.0216690017224209,0.0131974524794623,NA,0.317380380976815,NA,0.0133124654220181,0.00871771765420969,0.181610277741853,0.288237027628717,0.535755485994467,0.176007486376815,"09-1996"
