date,time_month,year,month,upwelling,ui,Isotherm_21,sst,temp_50m,euphotic_depth_obs,MLD,depth_cutoff,cutoff_source,TotChlA_mmolN,micro_mmolN,nano_mmolN,pico_mmolN,micro_frac,nano_frac,pico_frac,size_centroid,size_shannon,nbss_slope,n_hplc_samples,NO3_mmolN,PON_mmolN,PP_mgC_m2_d,Temp_C,n_niskin_samples,FN_mmolN_m2_d,zoo_gt200_mmolN,zoo_gt500_mmolN,n_zoo_samples,export_flux_mmolN,export_flux_C,trap_CN,export_flux_corrected_mmolN
1997-01-01,01-1997,1997,1,relaxed,relaxed,64,24.01909090909091,22.208,NA,26,23.65491475182929,isotherm_chl_model,2.2474888732910974,2.089941428967535,0.050565497413179505,0.10698194691038361,0.9299006788439137,0.02249866418209858,0.04760065697398768,1.6816405713235076,0.297889174369042,0.6454118089769768,1,2.8599047664565975,16.33625736483812,4685.0452747856825,23.802940382513857,1,11.237424479327723,NA,NA,NA,0.40455962494943015,3.0805095329281498,7.607942719174091,2.794670356173763
1997-02-01,02-1997,1997,2,upwelling,moderate,46,23.834636363636363,20.781,NA,28,37.30767524442204,isotherm_chl_model,0.4803350703466564,0.40429423195606085,0.021418045819461357,0.054622792571134206,0.8207550680219969,0.045395333022604636,0.13384959895539852,1.4862460185201802,0.5153665579367508,0.5006166548316273,2,2.862053168772437,14.712414531051959,1730.1988579386916,23.15924184640484,1,4.298324833593026,NA,NA,NA,0.9281073748839866,7.659645325118642,8.252973236072062,4.336785869123095
1997-03-01,03-1997,1997,3,upwelling,strong,19,21.948818181818183,19.639,NA,28,NA,no_prediction,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.356464624830442,10.24061277162601,7.549487531166606,NA
1997-04-01,04-1997,1997,4,upwelling,moderate,32,22.97327272727273,20.038,NA,24,25.84658886939303,isotherm_chl_model,1.18317462155973,1.0002164552126989,0.10119786707270242,0.08176029927432879,0.8453667252380337,0.08553079590170508,0.0691024788602612,1.5756047958313542,0.5369717814187993,0.5437757613262859,1,3.5375366320148802,16.631128645940677,2687.985571268955,22.57132423211618,1,7.069039975173654,NA,NA,NA,NA,NA,NA,NA
1997-05-01,05-1997,1997,5,upwelling,weak,56,24.053454545454546,21.071,NA,15,37.0154651258326,isotherm_chl_model,0.37834245196809757,0.30420661638575536,0.024464211965275068,0.049671623617067145,0.8040509723487402,0.0646615568462244,0.13128747080503547,1.4721040509972867,0.6190005765440587,0.39353014977657186,1,5.442562328957267,11.104288559942805,2245.022579146792,22.65679062067658,1,5.843311267873198,NA,NA,NA,1.6896313747887963,13.265617628285183,7.881249377613006,7.948620653888844
1997-06-01,06-1997,1997,6,relaxed,relaxed,113,25.245545454545454,22.343,NA,17,50.76446120171499,isotherm_chl_model,0.1791997681378167,0.02676389649422195,0.03154969665540167,0.12088617498819311,0.14935229421523977,0.17605880288381753,0.6745889029009428,0.2741039407678787,0.855341757526314,-0.32741364723217414,1,1.8335444727098782,5.146753794881534,940.0562189921909,23.684483389269214,1,2.1827253561538917,NA,NA,NA,0.6782323124152211,5.328448921821663,7.850897094330198,2.433216680393927
1997-07-01,07-1997,1997,7,upwelling,weak,84,23.96872727272727,21.789,NA,22,52.377947644774096,isotherm_chl_model,0.1998423113159662,0.19713141068176626,0.03311302021096793,0.03614193408595206,0.7400206489455227,0.12430448613095238,0.13567486492352487,1.4036863334755794,0.7529905469979581,0.36837222011696924,2,6.309406285046416,7.063751181106674,731.2552471868801,22.69504360881121,1,1.8131403442612533,NA,NA,NA,0.713928749910759,5.744733993838981,8.117132372248516,2.4934351557366674
1997-08-01,08-1997,1997,8,upwelling,moderate,49,23.947454545454544,20.979,NA,13,43.588743891087546,isotherm_chl_model,0.2554542662912177,0.030625336547961485,0.0542718307527433,0.17055709899051286,0.11988579009695857,0.21245223867536997,0.6676619712276713,0.2515643683228689,0.8531178178046608,-0.37289446526844344,1,NA,7.091995326991479,900.3115691696025,22.197233556849543,1,2.348234772977102,NA,NA,NA,0.3569643749553795,2.9139955041212224,8.163267005245192,1.459534215432291
1997-09-01,09-1997,1997,9,relaxed,relaxed,114,28.10309090909091,23.329,NA,18,59.03110803642171,isotherm_chl_model,0.12947826017669478,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.7196474419415595,3.874879322588941,462.00314704781067,25.517487395321275,1,0.8598856629471074,NA,NA,NA,0.42835724994645535,3.33028057613854,7.830072433602531,1.350178785445733
1997-10-01,10-1997,1997,10,relaxed,relaxed,124,28.354636363636363,24.367,NA,11,48.4901350531437,isotherm_chl_model,0.1302970991516535,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7.403658991791726,676.1838282381161,26.19679688397414,1,1.21147250474453,NA,NA,NA,0.2141786249732277,1.7850303888102577,8.334306885355092,0.7992048574682963
