"","Pras","date","Lut","Fuco","Perid","Allo","But_fuco","Hex_fuco","Zea","Tot_Chl_b","DP","Tot_Chl_a","TChl","Chl_c1c2","Chl_c3","source","DP2","micro","nano","pico","micro_abs","nano_abs","pico_abs","time_month","size_centroid","size_shannon","nbss_slope"
"1",NA,1995-12-13,NA,1.53857422417221,0.391151987054412,0.0950002028593832,NA,1.98971960667781,0.697179579978698,4.97301652564092,NA,12.6895702759808,NA,NA,NA,"BBRS",NA,NA,NA,NA,NA,NA,NA,"12-1995",NA,NA,NA
"2",NA,1996-01-12,NA,25.6729513481974,4.24933706689098,0.187440901549869,NA,1.98255674568308,NA,5.18652946995098,NA,43.383381618314,NA,NA,NA,"BBRS",NA,NA,NA,NA,NA,NA,NA,"01-1996",NA,NA,NA
"3",NA,1996-02-13,NA,21.2203440072087,0.945115068038621,0.332988503308697,0.381456325713268,2.20545424163322,NA,3.74790557562894,NA,27.7913990569162,NA,3.37768179510009,0.811471067729489,"BBRS",NA,NA,NA,NA,NA,NA,NA,"02-1996",NA,NA,NA
"4",NA,1996-03-13,NA,29.1231160512804,1.55477831214541,0.279120967237902,0.157950581395349,1.84434874411931,NA,2.48456150124474,NA,27.980936239713,NA,NA,NA,"BBRS",NA,NA,NA,NA,NA,NA,NA,"03-1996",NA,NA,NA
"5",NA,1996-04-16,NA,NA,1.51472872567765,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BBRS",NA,NA,NA,NA,NA,NA,NA,"04-1996",NA,NA,NA
"6",NA,1996-05-09,NA,25.3971614936667,0,0,NA,4.43977407530118,NA,3.41812968887695,NA,48.4160448387978,NA,NA,NA,"BBRS",NA,NA,NA,NA,NA,NA,NA,"05-1996",NA,NA,NA
"7",NA,1996-06-12,NA,7.73573647066889,0.321691581652984,0.618667906702262,0.773655902369106,3.22324317964147,NA,10.0956691066583,NA,25.5530169231217,NA,1.8409327283478,0.330242816594719,"BBRS",NA,NA,NA,NA,NA,NA,NA,"06-1996",NA,NA,NA
"8",1.51114617040117,1996-07-10,NA,2.07548278467627,0.470984450936412,0,0.901406884226952,3.81113694898087,1.96797492488921,1.29060963009961,NA,22.3102706225805,NA,0.849688119967119,NA,"BBRS",11.7421292987043,0.305780894663634,0.439071671204815,0.255147434131551,6.82205451116044,9.7958078072881,5.69240830413193,"07-1996",0.849974009985664,1.07222167776119,0.0393095708762765
"9",1.59126535695008,1996-09-10,NA,3.2177945706296,0.438718647381458,0.0691398539456618,2.33689543371842,6.94642272402853,2.16690017224209,1.31974524794623,NA,31.7380380976815,NA,1.33124654220181,NA,"BBRS",18.0335146596346,0.285894554373023,0.53685342854188,0.177252017085097,9.07373225861068,17.0386745679331,5.6256312711377,"09-1996",0.907983086741507,0.998595192237648,0.103807348543283
"10",NA,1996-10-09,NA,4.9815559383618,0.69363899193298,0.0560784788599668,1.18615612116963,3.86359861547232,2.29167187024399,0.955661925439806,NA,29.8575336589526,NA,NA,NA,"BBRS",16.2936531761949,0.491112997507928,0.328690681792572,0.1801963206995,14.6634228534421,9.81389309500581,5.38021771050474,"10-1996",1.11025722626201,1.02373887212501,0.217717754441367
"11",NA,1996-11-10,NA,13.0467016099394,0.51113348040744,0.0809767230997699,1.00057586884797,4.03053755877982,1.44239834719594,3.36357260006136,NA,39.6859256180502,NA,1.667210705368,NA,"BBRS",29.2717886696465,0.653070698655732,0.18849446987599,0.158434831468278,25.9177151701795,7.48057751091235,6.2876329369584,"11-1996",1.29397641664104,0.884694180778675,0.307554766239071
