"","date","micro","nano","pico","micro_abs","nano_abs","pico_abs"
"1",1995-12-13,0.245275732360771,0.247902312214557,0.506821955424673,3.11244364278465,3.14577381242474,6.43135282077138
"2",1996-01-12,0.832345918239323,0.0566067124255238,0.111047369335153,36.1099806094226,2.45579060731466,4.81761040157679
"3",1996-07-10,0.305780894663634,0.439071671204815,0.255147434131551,6.82205451116044,9.7958078072881,5.69240830413193
"4",1996-09-10,0.285894554373023,0.53685342854188,0.177252017085097,9.07373225861068,17.0386745679331,5.6256312711377
"5",1996-10-09,0.491112997507928,0.328690681792572,0.1801963206995,14.6634228534421,9.81389309500581,5.38021771050474
"6",1996-11-10,0.653070698655732,0.18849446987599,0.158434831468278,25.9177151701795,7.48057751091235,6.2876329369584
"7",1996-12-11,0.132430410564243,0.276331088947232,0.591238500488525,2.44621922870925,5.10431418578866,10.9211999153822
"8",1997-01-07,0.869964433332732,0.0398447045203932,0.0901908621468749,93.8267196171887,4.29729972401621,9.72719390638674
"9",1997-02-14,0.530267009409601,0.0626919128558057,0.407041077734594,14.0644628217447,1.66280017790708,10.7960970664479
"10",1997-02-23,0.925347652976248,0.0438448015952398,0.0308075454285118,38.1141184907436,1.80592230155795,1.26893112344816
"11",1997-03-13,0.327099903830157,0.00267943466740838,0.670220661502435,17.2520377489674,0.141319845975936,35.3490539648145
"12",1997-04-15,0.716036588629664,0.0994480985828015,0.184515312787534,45.2205347448131,6.28053966610229,11.6528697630202
"13",1997-05-10,0.704030037223841,0.0890448706727148,0.206925092103444,19.5395363200649,2.47133700642349,5.74296569594018
"14",1997-06-17,0.124157897693114,0.161347263743345,0.714494838563541,2.66799618206549,3.46714862004169,15.3535903620471
"15",1997-07-16,0.636314840224405,0.139756503646475,0.22392865612912,15.7891780105403,3.46784354962823,5.55644657295254
"16",1997-08-17,0.130048815688542,0.188689636765548,0.68126154754591,3.15005801250596,4.57046301439345,16.5015989195838
"17",1997-09-17,0.134245119184806,0.24473836146391,0.621016519351284,2.21456618033367,4.03731101450424,10.2445600222577
"18",1997-10-14,0.123901954151872,0.148654268327586,0.727443777520542,2.11127911603739,2.5330565153569,12.3955821849906
"19",1997-11-13,0.0857932048310149,0.122245532741324,0.791961262427661,1.40799413299044,2.00623106717016,12.9972625833269
"20",1997-12-17,0.360711002187192,0.223429723113723,0.415859274699085,10.7944791604997,6.68625984614597,12.4448221629519
"21",1998-01-14,0.373718935548354,0.311593243163618,0.314687821288028,11.1546375533988,9.30033070569018,9.39269663654092
"22",1998-02-11,0.490134919856486,0.205562036826468,0.304303043317047,11.5410241578735,4.8402926150428,7.16531026857826
"23",1998-03-12,0.766126372308786,0.0287541821600687,0.205119445531146,63.608367506231,2.38734320118351,17.0302361928885
"24",1998-04-21,0.234536117898753,0.402287654202115,0.363176227899133,6.14956878713628,10.5480367966164,9.52252989998977
"25",2000-01-11,0.5043911043177,0.223428521105662,0.272180374576637,15.4160151785904,6.82878314706637,8.31881599391766
"26",2006-07-04,0.436833031902901,0.349604817859358,0.213562150237741,5.87626250528828,4.70287165305696,2.87283049664094
"27",2007-05-08,0.207476203884839,0.514164741655907,0.278359054459254,6.04270394407713,14.9749477488709,8.10715313253052
"28",2007-07-03,0.60654610592263,0.160227130204176,0.233226763873194,18.8363659953943,4.97587378345568,7.24288663522844
"29",2007-08-07,0.129153800887075,0.328013014954544,0.542833184158381,4.59478600299393,11.6694173888909,19.3118769978156
"30",2007-09-04,0.230136080134153,0.327400352372628,0.442463567493218,6.12676972597522,8.7161759512934,11.7794323627316
"31",2008-07-08,0.409827308474671,0.227390839102176,0.362781852423153,15.7728860069636,8.75151486984935,13.9622633371176
"32",2008-09-10,0.154452164116651,0.251922366026295,0.593625469857055,3.39253941377146,5.53347090241662,13.0389743324519
"33",2008-10-10,0.109363053705271,0.261744557727625,0.628892388567104,2.69696958373029,6.45480431445118,15.5089272468186
"34",2008-11-18,0.104492347170516,0.253796626758491,0.641711026070993,2.5974213483827,6.30875651988444,15.9513492015774
"35",2008-12-10,0.110735322220627,0.276191813721299,0.613072864058074,2.36509609915211,5.89893241064064,13.0940716133093
"36",2009-06-02,0.285267665517334,0.322431121127905,0.392301213354761,9.73309679071579,11.0010831567106,13.3849929110354
